region_id,dane_code,city
11,25214,Cota
11,25224,Cucunubá
11,25245,El Colegio
11,25258,El Peñón
11,25260,El Rosal
11,25269,Facatativá
11,25279,Fomeque
11,25281,Fosca
11,25286,Funza
11,25288,Fúquene
11,25290,Fusagasugá
11,25293,Gachala
11,25295,Gachancipá
11,25297,Gachetá
11,25299,Gama
11,25307,Girardot
11,25312,Granada
11,25317,Guachetá
11,25320,Guaduas
11,25322,Guasca
11,25324,Guataquí
11,25326,Guatavita
11,25328,Guayabal de Siquima
11,25335,Guayabetal
11,25339,Gutiérrez
11,25368,Jerusalén
11,25372,Junín
11,25377,La Calera
11,25386,La Mesa
11,25394,La Palma
11,25398,La Peña
11,25402,La Vega
11,25407,Lenguazaque
11,25426,Macheta
11,25430,Madrid
11,25436,Manta
11,25438,Medina
11,25473,Mosquera
11,25483,17
11,25486,Nemocón
11,25488,Nilo
11,25489,Nimaima
11,25491,Nocaima
11,25506,Venecia (Ospina Pérez)
11,25513,Pacho
11,25518,Paime
11,25524,Pandi
11,25530,Paratebueno
11,25535,Pasca
11,25572,Puerto Salgar
11,25580,Pulí
11,25592,Quebradanegra
11,25594,Quetame
11,25596,Quipile
11,25599,Apulo (Rafael Reyes)
11,25612,Ricaurte
11,25645,San Antonio del Tequendama
11,25649,San Bernardo
11,25653,San Cayetano
11,25658,San Francisco
11,25662,San Juan de Río Seco
11,25718,Sasaima
11,25736,Sesquilé
11,25740,Sibaté
11,25743,Silvania
11,25745,Simijaca
11,25754,Soacha
11,25758,Sopó
11,25769,Subachoque
11,25772,Suesca
11,25777,Supatá
11,25779,Susa
11,25781,Sutatausa
11,25785,Tabio
11,25793,Tausa
11,25797,Tena
11,25799,Tenjo
11,25805,Tibacuy
11,25807,Tibirita
11,25815,Tocaima
11,25817,Tocancipá
11,25823,Topaipí
11,25839,Ubalá
11,25841,Ubaque
11,25843,Villa de San Diego de Ubate
11,25845,Une
11,25851,Útica
11,25862,Vergara
11,25867,Vianí
11,25871,Villagómez
11,25873,Villapinzón
11,25875,Villeta
11,25878,Viotá
11,25885,Yacopí
11,25898,Zipacón
11,25899,Zipaquirá
12,27001,Quibdó
12,27006,Acandí
12,27025,Alto Baudo
12,27050,Atrato
12,27073,Bagadó
12,27075,Bahía Solano
12,27077,Bajo Baudó
12,27099,Bojaya
12,27135,El Cantón del San Pablo
12,27150,Carmen del Darien
12,27160,Cértegui
12,27205,Condoto
12,27245,El Carmen de Atrato
12,27250,El Litoral del San Juan
12,27361,Istmina
12,27372,Juradó
12,27413,Lloró
12,27425,Medio Atrato
12,27430,Medio Baudó
12,27450,Medio San Juan
12,27491,Nóvita
12,27495,Nuquí
12,27580,Río Iro
12,27600,Río Quito
12,27615,Riosucio
12,27660,San José del Palmar
12,27745,Sipí
12,27787,Tadó
12,27800,Unguía
12,27810,Unión Panamericana
13,41001,Neiva
13,41006,Acevedo
13,41013,Agrado
13,41016,Aipe
13,41020,Algeciras
13,41026,Altamira
13,41078,Baraya
13,41132,Campoalegre
13,41206,Colombia
13,41244,Elías
13,41298,Garzón
13,41306,Gigante
13,41319,Guadalupe
13,41349,Hobo
13,41357,Iquira
13,41359,Isnos
13,41378,La Argentina
13,41396,La Plata
13,41483,Nátaga
13,41503,Oporapa
13,41518,Paicol
13,41524,Palermo
13,41530,Palestina
13,41548,Pital
13,41551,Pitalito
13,41615,Rivera
13,41660,Saladoblanco
13,41668,San Agustín
13,41676,Santa María
13,41770,Suaza
13,41791,Tarqui
13,41797,Tesalia
13,41799,Tello
13,41801,Teruel
13,41807,Timaná
13,41872,Villavieja
13,41885,Yaguará
14,44001,Riohacha
14,44035,Albania
14,44078,Barrancas
14,44090,Dibulla
14,44098,Distracción
14,44110,El Molino
14,44279,Fonseca
14,44378,Hatonuevo
14,44420,La Jagua del Pilar
14,44430,Maicao
14,44560,Manaure
14,44650,San Juan del 9
14,44847,Uribia
14,44855,Urumita
14,44874,Villanueva
15,47001,Santa Marta
15,47030,Algarrobo
15,47053,Aracataca
15,47058,Ariguaní
15,47161,Cerro San Antonio
15,47170,Chibolo
15,47189,Ciénaga
15,47205,Concordia
15,47245,El Banco
15,47258,El Piñon
15,47268,El Retén
15,47288,Fundación
15,47318,Guamal
15,47460,Nueva Granada
15,47541,Pedraza
15,47545,Pijiño del Carmen
15,47551,Pivijay
15,47555,Plato
15,47570,Puebloviejo
15,47605,Remolino
15,47660,Sabanas de San Angel
15,47675,Salamina
15,47692,San Sebastián de Buenavista
15,47703,San Zenón
15,47707,Santa Ana
15,47720,Santa Bárbara de Pinto
15,47745,Sitionuevo
15,47798,Tenerife
15,47960,Zapayán
15,47980,Zona Bananera
16,50001,Villavicencio
16,50006,Acacías
16,50110,Barranca de Upía
16,50124,Cabuyaro
16,50150,Castilla La Nueva
16,50223,Cubarral
16,50226,Cumaral
16,50245,El Calvario
16,50251,El Castillo
16,50270,El Dorado
16,50287,Fuente de Oro
16,50313,Granada
16,50318,Guamal
16,50325,Mapiripán
16,50330,Mesetas
16,50350,La Macarena
16,50370,Uribe
16,50400,Lejanías
16,50450,Puerto Concordia
16,50568,Puerto Gaitán
16,50573,Puerto López
16,50577,Puerto Lleras
16,50590,Puerto Rico
16,50606,Restrepo
16,50680,San Carlos de Guaroa
16,50683,San Juan de Arama
16,50686,San Juanito
16,50689,San Martín
16,50711,Vistahermosa
17,52001,Pasto
17,52019,Albán
17,52022,Aldana
17,52036,Ancuyá
17,52051,Arboleda
17,52079,Barbacoas
17,52083,Belén
17,52110,Buesaco
17,52203,Colón
17,52207,Consaca
17,52210,Contadero
17,52215,10
17,52224,Cuaspud
17,52227,Cumbal
17,52233,Cumbitara
17,52240,Chachagüí
17,52250,El Charco
17,52254,El Peñol
17,52256,El Rosario
17,52258,El Tablón de Gómez
17,52260,El Tambo
17,52287,Funes
17,52317,Guachucal
17,52320,Guaitarilla
17,52323,Gualmatán
17,52352,Iles
17,52354,Imués
17,52356,Ipiales
17,52378,La Cruz
17,52381,La Florida
17,52385,La Llanada
17,52390,La Tola
17,52399,La Unión
17,52405,Leiva
17,52411,Linares
17,52418,Los Andes
17,52427,Magüi
17,52435,Mallama
17,52473,Mosquera
