geolocation_id,channels,operation,id
5631,16,Nacional público,456
5631,18,Regional público,457
5631,28,Local con ánimo de lucro,458
5642,19,Nacional privado futuro,459
5642,14,Nacional privado,460
5642,15,Nacional privado,461
5642,16,Nacional público,462
5642,18,Regional público,463
5647,19,Nacional privado futuro,464
5647,16,Nacional público,465
5647,18,Regional público,466
5647,14,Nacional privado,467
5647,15,Nacional privado,468
5649,19,Nacional privado futuro,469
5649,14,Nacional privado,470
5649,15,Nacional privado,471
5649,16,Nacional público,472
5649,18,Regional público,473
5652,19,Nacional privado futuro,474
5652,14,Nacional privado,475
5652,15,Nacional privado,476
5652,16,Nacional público,477
5652,18,Regional público,478
5656,19,Nacional privado futuro,479
5656,14,Nacional privado,480
5656,15,Nacional privado,481
5656,16,Nacional público,482
5656,18,Regional público,483
5658,19,Nacional privado futuro,484
5658,16,Nacional público,485
5658,18,Regional público,486
5658,14,Nacional privado,487
5658,15,Nacional privado,488
5659,19,Nacional privado futuro,489
5659,33,Nacional privado,490
5659,32,Nacional privado,491
5659,16,Nacional público,492
5659,18,Regional público,493
5660,19,Nacional privado futuro,494
5660,16,Nacional público,495
5660,18,Regional público,496
5660,21,Nacional privado,497
5660,42,Nacional privado,498
5664,19,Nacional privado futuro,499
5664,14,Nacional privado,500
5664,15,Nacional privado,501
5664,16,Nacional público,502
5664,18,Regional público,503
5665,19,Nacional privado futuro,504
5665,14,Nacional privado,505
5665,15,Nacional privado,506
5665,16,Nacional público,507
5665,18,Regional público,508
5667,19,Nacional privado futuro,509
5667,14,Nacional privado,510
5667,15,Nacional privado,511
5667,16,Nacional público,512
5667,18,Regional público,513
5670,50,Nacional privado futuro,514
5670,49,Nacional privado,515
5670,45,Nacional privado,516
5670,16,Nacional público,517
5670,18,Regional público,518
5674,19,Nacional privado futuro,519
5674,14,Nacional privado,520
5674,15,Nacional privado,521
5674,16,Nacional público,522
5674,18,Regional público,523
5679,19,Nacional privado futuro,524
5679,38,Nacional público,525
5679,18,Regional público,526
5679,41,Nacional privado,527
5679,42,Nacional privado,528
5686,19,Nacional privado futuro,529
5686,14,Nacional privado,530
5686,15,Nacional privado,531
5686,16,Nacional público,532
5686,18,Regional público,533
5690,19,Nacional privado futuro,534
5690,49,Nacional privado,535
5690,45,Nacional privado,536
5690,16,Nacional público,537
5690,18,Regional público,538
5697,19,Nacional privado futuro,539
5697,26,Nacional privado,540
5697,27,Nacional privado,541
5697,16,Nacional público,542
5697,18,Regional público,543
5736,46,Nacional privado futuro,544
5736,43,Nacional privado,545
5736,44,Nacional privado,546
5736,16,Nacional público,547
5736,18,Regional público,548
5756,19,Nacional privado futuro,549
5756,14,Nacional privado,550
5756,15,Nacional privado,551
5756,16,Nacional público,552
5756,18,Regional público,553
5761,19,Nacional privado futuro,554
5761,14,Nacional privado,555
5761,15,Nacional privado,556
5761,16,Nacional público,557
5761,18,Regional público,558
5789,19,Nacional privado futuro,559
5789,14,Nacional privado,560
5789,15,Nacional privado,561
5789,16,Nacional público,562
5789,18,Regional público,563
5790,19,Nacional privado futuro,564
5790,16,Nacional público,565
5790,18,Regional público,566
5790,26,Nacional privado,567
