,Frequency Hz,Spectrum dBm
129,66.5078125,-65.28605047543412
130,66.515625,-65.31521708803606
131,66.5234375,-65.29439620096436
132,66.53125,-65.24041029828125
133,66.5390625,-65.2907981817281
134,66.546875,-65.31762739618475
135,66.5546875,-65.25268509775474
136,66.5625,-65.20832558225212
137,66.5703125,-65.27670062238109
138,66.578125,-65.32154302766004
139,66.5859375,-65.23686420163477
140,66.59375,-65.21511197492039
141,66.6015625,-65.25738555248594
142,66.609375,-65.24522671213542
143,66.6171875,-65.20761306044395
144,66.625,-65.20312440650918
145,66.6328125,-65.24255017488757
146,66.640625,-65.22040525327108
147,66.6484375,-65.18937117044337
148,66.65625,-65.24330960157896
149,66.6640625,-65.28671558678859
150,66.671875,-65.23371001756028
151,66.6796875,-65.22954150259564
152,66.6875,-65.2756138380462
153,66.6953125,-65.26690695290469
154,66.703125,-65.20495831153686
155,66.7109375,-65.20939044605964
156,66.71875,-65.27864586849309
157,66.7265625,-65.25446310996222
158,66.734375,-65.17569278773212
159,66.7421875,-65.0461789425316
160,66.75,-64.960867167332
161,66.7578125,-65.07859240101034
162,66.765625,-65.21303032109094
163,66.7734375,-65.2898807722234
164,66.78125,-65.31862086565351
165,66.7890625,-65.27362472223186
166,66.796875,-65.26468578279433
167,66.8046875,-65.31027808539511
168,66.8125,-65.3272469027448
169,66.8203125,-65.29941767125845
170,66.828125,-65.29908160031415
171,66.8359375,-65.32661285660409
172,66.84375,-65.32349473974844
173,66.8515625,-65.33392317743763
174,66.859375,-65.37249646516355
175,66.8671875,-65.37955303123766
176,66.875,-65.38976324516791
177,66.8828125,-65.3817672054181
178,66.890625,-65.3855257297718
179,66.8984375,-65.41958188983834
180,66.90625,-65.46281148069306
181,66.9140625,-65.45860463420983
182,66.921875,-65.46258755509407
183,66.9296875,-65.47447089285383
184,66.9375,-65.49689363696314
185,66.9453125,-65.48233427343587
186,66.953125,-65.47391096647432
187,66.9609375,-65.54012489366652
188,66.96875,-65.55231560839144
189,66.9765625,-65.51139429874941
190,66.984375,-65.55456428734664
191,66.9921875,-65.60435114722699
192,67.0,-65.58168429127849
193,67.0078125,-65.5825388878647
194,67.015625,-65.66496374334513
195,67.0234375,-65.6996590217681
196,67.03125,-65.66151437142067
197,67.0390625,-65.69603740758171
198,67.046875,-65.76648668336284
199,67.0546875,-65.77692173083545
200,67.0625,-65.730092089906
201,67.0703125,-65.74584136096458
202,67.078125,-65.81078817580703
203,67.0859375,-65.79022288314071
204,67.09375,-65.7659287947648
205,67.1015625,-68.58522620278187
206,67.109375,-68.63398478132078
207,67.1171875,-68.58226072005681
