Frequency(Hz);Return Loss(dB);Phase(deg);Rs;SWR;Xs;|Z|;Theta;;;;;;;
1000000;-500;45;-24;31;28;9;38;50;-228;7;230;5;-82;8
3972248;-500;1;-42;93;0;2;388;56;-127;2;127;2;-89;9
6944496;-500;3;-62;45;0;3;630;99;-82;5;82;5;-89;8
9916744;-500;24;-82;53;1;6;72;93;-57;0;57;0;-88;4
12888992;-500;63;-98;41;3;2;27;38;-43;1;43;2;-85;8
15861240;-500;35;-116;50;1;4;49;41;-30;9;31;0;-87;4
18833488;-500;35;-134;66;1;2;49;5;-20;9;20;9;-86;7
21805736;-500;43;-152;49;1;3;40;23;-12;2;12;3;-83;9
24777984;-500;58;-170;4;1;7;30;20;-4;4;4;7;-69;0
27750232;-500;80;172;83;2;3;21;73;3;1;3;9;53;5
30722480;-500;10;155;79;3;3;15;88;10;7;11;2;72;9
33694728;-500;35;139;19;4;4;12;88;18;5;19;0;76;6
36666976;-500;39;123;38;5;1;12;53;26;7;27;2;79;1
39639224;-500;10;105;11;5;0;15;89;38;1;38;4;82;5
42611472;-500;97;85;8;6;1;17;90;54;1;54;5;83;6
45583720;-500;95;65;19;9;4;18;25;77;4;78;0;83;1
48555968;-500;95;45;23;18;1;18;38;117;7;119;0;81;3
51528216;-500;4;24;76;60;6;16;70;211;2;219;8;74;0
54500464;-500;32;4;22;534;9;13;22;258;6;594;1;25;8
57472712;-500;38;-15;46;163;5;12;60;-272;8;318;1;-59;1
60444960;-500;30;-37;0;35;4;13;35;-141;5;145;9;-75;9
63417208;-500;81;-64;31;17;9;9;62;-76;6;78;6;-76;9
66389456;-500;46;-60;11;47;5;3;29;-61;4;77;7;-52;3
69361704;-500;97;-86;35;5;9;18;0;-52;9;53;3;-83;6
72333952;-500;32;-115;58;5;3;13;15;-31;2;31;7;-80;4
75306200;-500;45;-140;42;7;9;7;15;-17;6;19;3;-65;9
78278448;-500;28;-164;29;12;3;4;14;-6;5;13;9;-27;8
81250696;-500;93;-177;39;21;4;2;34;0;9;21;4;-2;5
84222944;-500;10;-158;41;24;7;2;8;-7;3;25;7;-16;4
87195192;-500;55;-169;21;10;2;4;96;-4;5;11;1;-24;0
90167440;-500;78;149;98;5;5;9;79;13;3;14;3;67;6
93139688;-500;33;112;24;9;6;7;49;32;7;34;1;73;6
96111936;-500;89;76;49;26;6;4;54;56;0;62;0;64;6
99084184;-500;43;40;64;76;7;2;82;61;7;98;4;38;8
102056432;-500;53;5;58;99;4;2;0;7;3;99;7;4;2
105028680;-500;12;-32;18;73;1;1;66;-20;5;75;9;-15;7
108000928;-500;70;-88;19;47;9;1;39;-16;1;50;5;-18;6
110973176;-500;57;-148;49;41;5;1;23;-4;6;41;8;-6;3
113945424;-500;18;157;93;40;6;1;25;3;4;40;8;4;8
116917672;-500;26;109;70;44;1;1;32;11;6;45;7;14;7
119889920;-500;76;67;68;53;7;1;34;14;7;55;7;15;3
122862168;-500;54;40;28;59;1;1;27;9;2;59;9;8;8
125834416;-500;80;33;58;61;3;1;30;8;9;62;0;8;2
128806664;-500;43;14;74;69;2;1;41;6;1;69;5;5;1
131778912;-500;99;-10;85;71;0;1;43;-4;9;71;2;-4;0
134751160;-500;93;-20;56;69;5;1;44;-9;0;70;1;-7;4
137723408;-500;23;-33;84;69;5;1;56;-17;7;71;7;-14;3
140695656;-500;2;-49;33;63;7;1;67;-25;8;68;7;-22;1
143667904;-500;78;-64;58;54;8;1;81;-31;3;63;1;-29;7
146640152;-500;72;-85;4;42;5;1;97;-31;0;52;6;-36;1
149612400;-500;12;-104;74;33;7;2;8;-26;0;42;6;-37;7
152584648;-500;63;-125;32;27;6;2;18;-19;3;33;6;-35;0
155556896;-500;73;-147;99;24;7;2;15;-11;1;27;0;-24;1
158529144;-500;27;-165;78;24;7;2;5;-4;7;25;1;-10;9
161501392;-500;64;175;57;25;2;1;98;1;4;25;3;3;3
164473640;-500;42;157;4;27;6;1;86;7;1;28;5;14;5
167445888;-500;46;137;95;31;6;1;73;12;2;33;9;21;1
170418136;-500;34;117;11;38;4;1;55;15;4;41;4;21;9
173390384;-500;50;105;96;44;2;1;35;13;0;46;1;16;4
176362632;-500;28;107;91;45;2;1;28;10;6;46;4;13;3
179334880;-500;7;112;8;45;1;1;25;9;4;46;0;11;8
182307128;-500;23;123;94;40;8;1;36;10;7;42;2;14;7
185279376;-500;38;101;83;39;2;1;74;22;3;45;1;29;7
188251624;-500;95;64;99;52;8;2;11;39;2;65;8;36;6
191223872;-500;23;24;38;95;6;2;27;36;0;102;2;20;6
194196120;-500;83;-12;70;87;9;1;81;-12;1;88;7;-7;8
197168368;-500;97;-28;86;72;3;1;58;-16;5;74;1;-12;9
200140616;-500;29;-43;93;63;4;1;48;-17;6;65;8;-15;5
203112864;-500;79;-56;0;58;3;1;45;-18;2;61;1;-17;3
206085112;-500;70;-74;1;52;0;1;39;-16;8;54;6;-18;0
209057360;-500;94;-82;57;50;0;1;29;-12;8;51;6;-14;3
212029608;-500;59;-76;73;51;4;1;23;-10;6;52;4;-11;7
215001856;-500;72;-59;74;55;5;1;30;-12;7;56;9;-12;9
217974104;-500;72;-68;5;53;9;1;52;-21;5;58;0;-21;8
220946352;-500;5;-85;4;44;7;1;78;-27;1;52;3;-31;2
223918600;-500;81;-107;43;32;2;2;14;-25;6;41;2;-38;5
226890848;-500;82;-132;74;24;3;2;37;-17;4;29;9;-35;6
229863096;-500;67;-154;16;21;6;2;41;-9;4;23;6;-23;5
232835344;-500;35;-173;77;20;0;2;50;-2;3;20;1;-6;5
235807592;-500;96;164;52;19;3;2;63;5;8;20;2;16;7
238779840;-500;78;139;74;20;7;2;69;15;5;25;9;36;9
241752088;-500;9;114;97;25;7;2;58;25;5;36;2;44;9
244724336;-500;66;93;58;33;9;2;41;33;8;47;8;44;9
247696584;-500;34;75;93;41;8;2;51;42;7;59;8;45;6
250668832;-500;99;48;53;59;8;3;58;73;8;95;0;51;0
253641080;-500;10;-11;54;157;3;3;50;-50;6;165;2;-17;8
256613328;-500;6;-53;18;62;4;1;92;-34;8;71;5;-29;1
259585576;-500;66;-76;4;51;1;1;45;-19;0;54;5;-20;4
262557824;-500;86;-90;68;48;6;1;26;-11;2;49;9;-13;0
265530072;-500;54;-100;59;48;1;1;16;-7;1;48;7;-8;4
268502320;-500;47;-120;19;47;8;1;9;-3;5;47;9;-4;2
271474568;-500;76;-20;70;50;5;1;1;0;2;50;5;0;2
274446816;-500;35;2;96;54;0;1;8;0;2;54;0;0;2
277419064;-500;54;-6;96;58;0;1;16;-1;1;58;0;-1;0
280391312;-500;0;-22;32;61;3;1;25;-5;3;61;6;-4;9
283363560;-500;38;-37;44;62;5;1;36;-11;8;63;6;-10;7
286335808;-500;9;-53;51;59;8;1;49;-19;8;62;9;-18;3
289308056;-500;33;-71;85;51;9;1;64;-25;3;57;7;-26;0
292280304;-500;15;-90;90;42;5;1;77;-25;5;49;6;-31;0
295252552;-500;23;-109;88;34;7;1;89;-22;2;41;2;-32;6
298224800;-500;78;-129;24;29;5;1;96;-16;6;33;9;-29;3
301197048;-500;68;-147;91;26;8;1;98;-10;5;28;8;-21;3
304169296;-500;57;-163;10;25;5;2;0;-5;5;26;1;-12;3
307141544;-500;87;-179;48;23;5;2;13;0;2;23;5;0;4
310113792;-500;30;161;45;22;7;2;25;6;5;23;6;16;0
313086040;-500;89;141;16;23;4;2;35;14;1;27;3;31;1
316058288;-500;71;119;60;26;4;2;40;22;7;34;8;40;7
319030536;-500;88;97;30;33;1;2;35;31;6;45;8;43;7
322002784;-500;16;75;56;44;2;2;28;39;5;59;3;41;8
324975032;-500;47;53;55;61;8;2;21;43;7;75;7;35;3
327947280;-500;98;33;16;82;2;2;10;36;6;90;0;24;0
330919528;-500;27;15;55;96;8;2;5;20;2;98;9;11;8
333891776;-500;27;-1;88;102;4;2;5;-2;6;102;4;-1;5
336864024;-500;19;-19;72;94;2;2;6;-25;1;97;4;-14;9
339836272;-500;27;-37;98;76;5;2;5;-36;8;84;9;-25;7
342808520;-500;52;-55;94;60;2;2;0;-37;5;71;0;-31;9
345780768;-500;12;-72;16;49;8;1;91;-32;8;59;6;-33;3
348753016;-500;56;-84;53;44;2;1;84;-28;6;52;7;-32;9
351725264;-500;63;-96;85;39;5;1;83;-25;2;46;9;-32;6
354697512;-500;47;-108;72;35;5;1;86;-22;1;41;8;-31;9
357669760;-500;12;-120;90;31;8;1;91;-18;9;37;0;-30;7
360642008;-500;51;-133;88;28;2;2;1;-15;3;32;1;-28;5
363614256;-500;79;-149;24;24;7;2;14;-10;6;26;9;-23;2
366586504;-500;31;-166;86;22;5;2;25;-4;6;23;0;-11;6
369558752;-500;13;175;29;21;9;2;29;1;7;21;9;4;4
372531000;-500;1;157;34;22;3;2;32;8;1;23;7;20;0
375503248;-500;94;138;5;23;9;2;34;15;3;28;3;32;6
378475496;-500;1;117;64;27;6;2;32;23;1;35;9;39;9
381447744;-500;18;96;23;34;3;2;28;31;4;46;5;42;4
384419992;-500;48;75;78;44;9;2;21;38;2;58;9;40;4
387392240;-500;79;55;81;60;0;2;14;41;5;73;0;34;7
390364488;-500;11;36;46;78;5;2;8;37;3;86;9;25;4
393336736;-500;47;17;20;94;2;2;1;21;1;96;6;12;6
396308984;-500;83;-1;34;97;6;1;95;-1;6;97;6;-1;0
399281232;-500;16;-20;10;88;0;1;90;-20;8;90;4;-13;3
402253480;-500;58;-38;52;73;0;1;84;-29;5;78;8;-22;0
405225728;-500;99;-56;28;60;0;1;79;-30;6;67;4;-27;0
408197976;-500;51;-73;12;50;7;1;72;-27;8;57;8;-28;7
411170224;-500;6;-88;45;44;7;1;66;-23;8;50;6;-28;0
414142472;-500;80;-101;15;41;5;1;59;-19;7;46;0;-25;4
417114720;-500;34;-109;55;40;1;1;55;-17;0;43;5;-23;0
420086968;-500;16;-115;67;38;4;1;56;-16;0;41;6;-22;6
423059216;-500;6;-124;37;34;9;1;67;-15;3;38;1;-23;7
426031464;-500;73;-140;79;29;8;1;82;-12;0;32;1;-21;9
429003712;-500;15;-163;5;26;7;1;90;-5;4;27;2;-11;3
431975960;-500;44;172;93;27;0;1;86;2;2;27;1;4;6
434948208;-500;48;150;27;30;3;1;73;8;6;31;5;15;9
437920456;-500;18;131;38;35;6;1;56;12;3;37;6;19;1
440892704;-500;19;117;81;40;7;1;42;12;9;42;7;17;6
443864952;-500;16;111;48;43;8;1;32;11;5;45;2;14;7
446837200;-500;13;114;16;44;1;1;28;10;1;45;2;12;9
449809448;-500;99;117;58;42;6;1;33;10;9;43;9;14;4
452781696;-500;65;110;77;41;4;1;45;14;9;44;0;19;7
455753944;-500;27;94;75;42;8;1;64;22;1;48;1;27;3
458726192;-500;52;73;94;49;3;1;85;31;0;58;2;32;2
461698440;-500;17;51;83;63;6;2;7;39;6;74;9;31;9
464670688;-500;8;27;86;92;2;2;30;40;3;100;6;23;6
467642936;-500;27;3;31;125;8;2;53;7;7;126;0;3;5
470615184;-500;79;-20;66;112;0;2;69;-45;7;120;9;-22;2
473587432;-500;54;-43;29;72;6;2;78;-60;2;94;3;-39;7
476559680;-500;43;-64;63;47;2;2;83;-52;7;70;7;-48;2
479531928;-500;46;-85;28;33;7;2;81;-41;3;53;3;-50;8
482504176;-500;58;-105;85;26;4;2;76;-30;6;40;4;-49;1
485476424;-500;84;-126;48;22;7;2;67;-20;9;30;9;-42;7
488448672;-500;18;-146;89;21;0;2;56;-12;4;24;4;-30;6
491420920;-500;63;-167;15;20;9;2;42;-4;7;21;4;-12;6
494393168;-500;27;173;26;22;2;2;26;2;4;22;3;6;1
497365416;-500;7;155;36;24;8;2;9;8;3;26;2;18;5
500337664;-500;92;138;32;28;5;1;94;13;4;31;5;25;3
503309912;-500;76;122;41;32;8;1;82;17;5;37;2;28;1
506282160;-500;43;106;64;37;9;1;73;21;0;43;3;29;0
509254408;-500;6;90;7;44;1;1;66;23;5;50;0;28;0
512226656;-500;77;71;74;52;1;1;60;24;0;57;4;24;7
515198904;-500;76;54;27;59;7;1;52;20;8;63;2;19;2
518171152;-500;80;38;47;64;6;1;44;15;1;66;4;13;2
521143400;-500;81;26;34;66;2;1;39;9;8;66;9;8;4
524115648;-500;43;16;77;66;6;1;36;5;9;66;8;5;1
527087896;-500;40;7;75;67;6;1;36;2;8;67;6;2;4
530060144;-500;17;-3;81;68;3;1;37;-1;4;68;4;-1;2
533032392;-500;93;-16;14;67;8;1;38;-6;2;68;1;-5;2
536004640;-500;77;-27;98;65;9;1;39;-10;3;66;7;-8;9
538976888;-500;43;-38;98;63;4;1;41;-13;9;64;9;-12;4
541949136;-500;83;-49;15;60;8;1;44;-17;2;63;2;-15;8
544921384;-500;80;-61;0;56;8;1;51;-21;2;60;6;-20;4
547893632;-500;51;-76;96;49;7;1;62;-24;3;55;3;-26;1
550865880;-500;59;-95;61;41;5;1;71;-23;4;47;6;-29;4
553838128;-500;90;-115;79;34;6;1;80;-19;3;39;6;-29;2
556810376;-500;69;-135;17;30;5;1;82;-13;7;33;5;-24;2
559782624;-500;69;-154;9;28;4;1;83;-7;9;29;5;-15;6
562754872;-500;75;-172;55;27;6;1;82;-2;3;27;7;-4;7
565727120;-500;0;168;87;28;2;1;78;3;3;28;4;6;7
568699368;-500;42;151;40;30;1;1;73;8;3;31;2;15;5
571671616;-500;67;134;11;32;5;1;71;13;1;35;1;21;9
574643864;-500;67;116;53;35;8;1;71;17;9;40;1;26;6
577616112;-500;65;97;60;40;9;1;71;22;8;46;9;29;1
580588360;-500;57;78;27;48;3;1;72;26;9;55;3;29;1
583560608;-500;61;58;98;58;3;1;71;28;2;64;8;25;8
586532856;-500;63;39;93;69;8;1;71;25;2;74;3;19;9
589505104;-500;66;20;45;80;5;1;71;15;8;82;0;11;1
592477352;-500;57;0;45;85;8;1;72;0;4;85;8;0;3
595449600;-500;67;-20;57;80;4;1;71;-15;8;82;0;-11;1
598421848;-500;85;-41;70;68;4;1;69;-24;9;72;8;-20;0
601394096;-500;24;-61;45;56;9;1;65;-26;0;62;6;-24;5
604366344;-500;68;-79;94;48;6;1;61;-23;5;54;0;-25;8
607338592;-500;19;-97;26;43;1;1;56;-19;7;47;4;-24;5
610310840;-500;90;-113;79;39;9;1;51;-15;3;42;7;-21;1
613283088;-500;73;-128;59;38;3;1;45;-11;4;39;9;-16;5
616255336;-500;52;-142;20;37;6;1;40;-7;9;38;4;-11;9
619227584;-500;35;-155;38;37;6;1;36;-4;9;37;9;-7;4
622199832;-500;28;-167;89;38;1;1;32;-2;2;38;2;-3;3
625172080;-500;45;-179;64;39;3;1;27;0;1;39;3;0;1
628144328;-500;78;172;30;40;8;1;23;1;1;40;8;1;6
631116576;-500;62;170;39;41;6;1;21;1;3;41;6;1;8
634088824;-500;30;170;47;41;3;1;21;1;3;41;3;1;8
637061072;-500;64;165;0;39;8;1;26;2;4;39;9;3;5
640033320;-500;7;151;6;38;8;1;33;5;4;39;1;7;9
643005568;-500;98;132;14;39;4;1;38;9;5;40;5;13;6
645977816;-500;57;112;10;42;2;1;40;13;4;44;2;17;6
648950064;-500;67;93;84;46;4;1;39;15;7;48;9;18;7
651922312;-500;79;78;8;50;7;1;39;16;6;53;4;18;1
654894560;-500;68;63;3;55;4;1;39;16;7;57;9;16;8
657866808;-500;39;46;74;61;0;1;41;15;6;63;0;14;3
660839056;-500;16;30;40;66;5;1;42;12;1;67;6;10;3
663811304;-500;86;15;28;70;7;1;44;7;0;71;1;5;6
666783552;-500;24;1;2;74;1;1;48;0;5;74;1;0;4
669755800;-500;48;-14;11;75;3;1;54;-8;1;75;8;-6;2
672728048;-500;59;-30;84;72;5;1;61;-18;5;74;8;-14;3
675700296;-500;82;-48;62;64;3;1;69;-26;5;69;5;-22;4
678672544;-500;17;-66;79;53;8;1;76;-29;6;61;4;-28;8
681644792;-500;66;-85;29;44;0;1;83;-28;1;52;3;-32;6
684617040;-500;31;-104;36;36;4;1;88;-23;8;43;5;-33;1
687589288;-500;10;-123;38;31;3;1;91;-18;1;36;2;-30;1
690561536;-500;84;-142;94;27;7;1;95;-12;0;30;2;-23;4
693533784;-500;70;-162;47;25;8;1;97;-5;7;26;4;-12;5
696506032;-500;65;178;24;25;2;1;98;0;6;25;2;1;3
699478280;-500;67;159;23;25;9;1;98;6;8;26;8;14;6
702450528;-500;75;140;63;27;8;1;96;12;8;30;6;24;8
705422776;-500;88;121;87;31;1;1;94;18;9;36;4;31;3
708395024;-500;97;102;64;36;3;1;93;25;0;44;0;34;5
711367272;-500;9;83;20;44;1;1;91;30;4;53;5;34;6
714339520;-500;13;63;49;55;1;1;90;34;0;64;8;31;7
717311768;-500;18;43;52;69;9;1;90;33;0;77;3;25;3
720284016;-500;22;24;15;85;0;1;89;23;7;88;3;15;6
723256264;-500;29;5;31;93;5;1;88;5;8;93;7;3;6
726228512;-500;44;-13;11;90;1;1;86;-13;5;91;1;-8;5
729200760;-500;57;-31;63;78;2;1;84;-26;6;82;6;-18;8
732173008;-500;79;-49;80;64;5;1;81;-31;0;71;6;-25;7
735145256;-500;1;-68;61;52;7;1;78;-30;0;60;6;-29;7
738117504;-500;33;-87;47;44;1;1;75;-25;8;51;1;-30;3
741089752;-500;70;-106;20;38;4;1;70;-20;6;43;6;-28;2
744062000;-500;21;-124;77;35;1;1;65;-15;0;38;2;-23;2
747034248;-500;94;-142;45;33;7;1;58;-9;8;35;1;-16;1
750006496;-500;78;-159;96;33;6;1;51;-4;9;33;9;-8;3
752978744;-500;78;-176;52;34;6;1;45;0;8;34;6;-1;3
755950992;-500;98;167;19;36;5;1;38;2;6;36;6;4;1
758923240;-500;19;151;96;38;8;1;32;5;1;39;2;7;5
761895488;-500;32;138;12;41;2;1;28;6;8;41;8;9;3
764867736;-500;30;124;48;43;6;1;24;7;9;44;3;10;2
767839984;-500;98;110;91;45;8;1;22;8;7;46;6;10;7
770812232;-500;27;95;43;48;2;1;21;9;4;49;1;11;0
773784480;-500;63;77;94;51;1;1;21;9;4;52;0;10;4
776756728;-500;17;58;76;54;1;1;19;8;1;54;7;8;6
779728976;-500;91;39;88;56;2;1;17;5;8;56;5;5;9
782701224;-500;11;22;43;56;8;1;15;3;0;56;9;3;1
785673472;-500;40;7;28;56;4;1;13;0;9;56;4;0;9
788645720;-500;3;-4;65;55;2;1;11;0;4;55;2;0;5
791617968;-500;61;-7;95;54;3;1;9;0;6;54;3;0;7
794590216;-500;24;-1;70;54;5;1;9;0;1;54;5;0;1
797562464;-500;45;-4;47;55;6;1;11;0;5;55;6;0;5
800534712;-500;88;-15;71;56;5;1;14;-2;0;56;6;-2;0
803506960;-500;77;-27;40;56;8;1;16;-3;8;56;9;-3;8
806479208;-500;16;-40;80;56;0;1;17;-5;7;56;3;-5;9
809451456;-500;57;-50;20;55;2;1;18;-7;1;55;6;-7;4
812423704;-500;95;-58;80;54;2;1;20;-8;4;54;8;-8;8
815395952;-500;92;-68;37;52;9;1;22;-10;0;53;8;-10;7
818368200;-500;86;-78;59;51;0;1;26;-11;6;52;3;-12;8
821340448;-500;76;-89;54;48;5;1;30;-12;8;50;1;-14;7
824312696;-500;64;-102;97;45;0;1;35;-13;2;46;9;-16;3
827284944;-500;55;-118;20;41;0;1;40;-12;4;42;8;-16;8
830257192;-500;82;-135;76;37;4;1;44;-9;8;38;6;-14;7
833229440;-500;18;-154;97;34;5;1;49;-5;9;35;0;-9;8
836201688;-500;70;-175;11;32;9;1;52;-1;2;32;9;-2;1
839173936;-500;46;164;66;32;8;1;54;3;9;33;0;6;7
842146184;-500;30;144;95;34;0;1;55;8;9;35;2;14;6
845118432;-500;22;124;71;36;7;1;56;13;8;39;3;20;7
848090680;-500;22;105;25;41;0;1;56;18;1;44;8;23;9
851062928;-500;19;86;50;46;6;1;56;21;4;51;3;24;7
854035176;-500;9;67;30;54;1;1;57;23;3;58;9;23;3
857007424;-500;90;48;40;63;2;1;59;22;6;67;1;19;6
859979672;-500;70;29;8;73;0;1;60;17;4;75;0;13;4
862951920;-500;52;10;56;79;9;1;62;7;3;80;2;5;2
865924168;-500;28;-7;24;81;6;1;64;-5;3;81;8;-3;7
868896416;-500;6;-24;84;76;9;1;66;-17;2;78;8;-12;6
871868664;-500;87;-41;88;68;2;1;68;-24;8;72;6;-20;0
874840912;-500;77;-58;60;58;5;1;69;-27;6;64;7;-25;2
877813160;-500;83;-75;35;49;9;1;69;-26;5;56;5;-28;0
880785408;-500;87;-92;14;43;1;1;68;-23;5;49;1;-28;6
883757656;-500;2;-109;31;38;1;1;67;-19;2;42;7;-26;8
886729904;-500;32;-126;51;34;9;1;64;-14;5;37;8;-22;5
889702152;-500;65;-143;30;33;1;1;61;-9;8;34;5;-16;4
892674400;-500;15;-159;67;32;6;1;56;-5;2;33;0;-9;1
895646648;-500;68;-175;62;32;9;1;52;-1;1;32;9;-1;9
898618896;-500;31;169;29;34;0;1;48;2;5;34;1;4;2
901591144;-500;6;153;83;35;9;1;43;5;8;36;4;9;1
904563392;-500;0;139;18;38;5;1;38;8;2;39;4;12;0
907535640;-500;71;127;22;40;9;1;34;9;7;42;0;13;4
910507888;-500;96;115;54;42;9;1;33;11;2;44;3;14;6
913480136;-500;74;101;72;45;3;1;34;13;2;47;2;16;2
916452384;-500;33;85;97;48;7;1;36;15;2;51;1;17;3
919424632;-500;82;68;77;53;6;1;39;16;6;56;1;17;2
922396880;-500;42;50;85;59;6;1;41;16;1;61;7;15;1
925369128;-500;11;33;84;65;6;1;43;13;2;66;9;11;4
928341376;-500;82;17;33;70;5;1;44;7;9;70;9;6;4
931313624;-500;47;1;78;73;3;1;47;0;9;73;3;0;7
934285872;-500;8;-13;27;73;4;1;49;-6;9;73;8;-5;4
937258120;-500;63;-28;63;70;6;1;53;-14;7;72;1;-11;8
940230368;-500;16;-43;89;65;1;1;56;-20;8;68;3;-17;8
943202616;-500;67;-59;56;57;8;1;61;-24;5;62;8;-23;0
946174864;-500;28;-75;60;50;1;1;64;-25;1;56;1;-26;6
949147112;-500;88;-91;80;43;3;1;68;-23;5;49;3;-28;6
952119360;-500;61;-108;36;37;7;1;71;-20;2;42;8;-28;2
955091608;-500;52;-125;30;33;7;1;72;-15;7;37;2;-25;0
958063856;-500;63;-142;54;31;4;1;71;-10;7;33;1;-18;9
961036104;-500;86;-159;17;30;3;1;69;-5;9;30;9;-11;0
964008352;-500;18;-176;13;30;3;1;65;-1;1;30;3;-2;0
966980600;-500;51;166;46;31;1;1;62;3;7;31;3;6;7
969952848;-500;90;148;63;33;0;1;59;8;2;34;0;14;0
972925096;-500;35;130;76;35;9;1;55;12;3;38;0;18;9
975897344;-500;86;113;30;39;9;1;51;15;5;42;8;21;2
978869592;-500;30;96;62;44;5;1;48;17;7;47;9;21;7
981841840;-500;54;80;17;49;7;1;46;19;0;53;2;21;0
984814088;-500;78;64;44;55;2;1;45;18;8;58;3;18;8
987786336;-500;87;48;73;60;9;1;44;17;1;63;2;15;7
990758584;-500;86;33;53;66;1;1;44;13;6;67;5;11;7
993730832;-500;73;18;45;70;5;1;45;8;5;71;0;6;8
996703080;-500;53;4;30;73;0;1;46;2;1;73;0;1;7
999675328;-500;16;-8;94;73;8;1;49;-4;7;74;0;-3;6
1002647576;-500;61;-22;3;72;8;1;53;-11;9;73;8;-9;3
1005619824;-500;93;-35;47;69;4;1;58;-19;2;72;0;-15;4
1008592072;-500;24;-49;44;63;4;1;65;-25;0;68;1;-21;5
1011564320;-500;60;-64;61;55;2;1;71;-28;1;61;9;-27;0
1014536568;-500;16;-80;17;47;0;1;77;-27;8;54;6;-30;6
1017508816;-500;90;-96;3;40;2;1;80;-24;9;47;3;-31;7
1020481064;-500;85;-112;2;35;4;1;80;-20;5;40;9;-30;1
1023453312;-500;88;-128;11;32;0;1;80;-15;7;35;6;-26;1
1026425560;-500;97;-143;84;29;9;1;79;-10;9;31;8;-19;9
1029397808;-500;12;-159;96;28;8;1;77;-6;0;29;5;-11;7
1032370056;-500;23;-176;24;28;5;1;76;-1;1;28;5;-2;2
1035342304;-500;32;167;53;28;9;1;75;3;7;29;1;7;2
1038314552;-500;35;150;53;30;0;1;74;8;6;31;2;16;0
1041286800;-500;39;133;7;32;2;1;74;13;7;35;0;23;0
1044259048;-500;39;133;7;32;2;1;74;13;7;35;0;23;0
1047231296;-500;39;133;7;32;2;1;74;13;7;35;0;23;0
1050203544;-500;83;126;3;32;3;1;81;16;4;36;2;26;9
1053175792;-500;51;56;48;59;8;1;72;28;5;66;2;25;5
1056148040;-500;56;38;8;71;1;1;72;24;9;75;4;19;3
1059120288;-500;60;19;61;81;1;1;71;15;4;82;6;10;7
1062092536;-500;56;2;10;85;8;1;72;1;8;85;9;1;2
1065064784;-500;47;-14;53;83;8;1;73;-12;1;84;6;-8;2
1068037032;-500;45;-30;98;75;8;1;73;-22;5;79;0;-16;5
1071009280;-500;42;-46;34;66;2;1;73;-27;7;71;7;-22;7
1073981528;-500;40;-61;9;57;1;1;74;-29;0;64;0;-26;9
1076953776;-500;48;-75;62;49;5;1;73;-27;5;56;6;-29;1
1079926024;-500;56;-88;82;43;9;1;72;-24;9;50;5;-29;6
1082898272;-500;78;-102;7;39;8;1;69;-21;4;45;2;-28;3
1085870520;-500;98;-114;97;36;7;1;67;-17;9;40;8;-26;0
1088842768;-500;15;-127;89;34;4;1;66;-14;3;37;3;-22;5
1091815016;-500;30;-141;3;32;8;1;64;-10;6;34;4;-18;0
1094787264;-500;40;-154;91;31;6;1;63;-6;8;32;3;-12;2
1097759512;-500;37;-169;14;30;8;1;63;-3;0;30;9;-5;5
1100731760;-500;34;175;32;30;6;1;64;1;3;30;6;2;4
1103704008;-500;31;158;85;31;1;1;64;5;8;31;7;10;5
1106676256;-500;37;141;82;32;8;1;63;10;4;34;4;17;5
1109648504;-500;48;123;91;35;7;1;62;14;9;38;7;22;7
1112620752;-500;53;105;67;39;9;1;62;19;2;44;3;25;7
1115593000;-500;51;86;39;46;0;1;62;23;0;51;4;26;6
1118565248;-500;52;66;73;54;3;1;62;25;0;59;8;24;7
1121537496;-500;40;47;18;64;4;1;63;24;1;68;8;20;5
1124509744;-500;27;28;73;74;4;1;64;18;5;76;7;14;0
1127481992;-500;14;11;15;81;5;1;66;8;3;81;9;5;8
1130454240;-500;4;-5;62;83;0;1;67;-4;3;83;1;-3;0
1133426488;-500;98;-20;99;79;0;1;67;-15;2;80;4;-10;9
1136398736;-500;96;-35;76;71;6;1;68;-22;5;75;0;-17;5
1139370984;-500;87;-49;50;63;7;1;68;-26;4;69;0;-22;5
1142343232;-500;81;-63;25;55;9;1;69;-27;5;62;3;-26;1
1145315480;-500;77;-76;72;49;2;1;70;-26;5;55;9;-28;3
1148287728;-500;74;-90;84;43;4;1;70;-24;1;49;6;-29;0
1151259976;-500;73;-105;51;38;7;1;70;-20;7;43;9;-28;2
1154232224;-500;77;-120;9;35;2;1;70;-16;8;39;0;-25;6
1157204472;-500;91;-135;38;32;8;1;68;-12;5;35;1;-20;9
1160176720;-500;21;-150;42;31;6;1;65;-8;1;32;7;-14;4
1163148968;-500;63;-165;83;31;4;1;61;-3;8;31;6;-6;9
1166121216;-500;21;178;86;32;1;1;56;0;3;32;1;0;5
1169093464;-500;81;163;40;33;4;1;51;4;1;33;7;6;9
1172065712;-500;33;148;12;35;3;1;48;7;4;36;1;11;9
1175037960;-500;75;132;87;37;7;1;45;10;5;39;1;15;5
1178010208;-500;92;116;91;40;5;1;44;13;4;42;7;18;3
1180982456;-500;90;100;90;44;0;1;44;16;0;46;8;20;0
1183954704;-500;60;83;90;48;5;1;46;18;6;52;0;21;0
1186926952;-500;7;66;95;54;3;1;49;20;6;58;1;20;8
1189899200;-500;47;50;38;61;7;1;54;21;1;65;2;18;9
