id,nombre,departamento
583,RAGONVALIA,NORTE DE SANTANDER
584,SALAZAR DE LAS PALMAS,NORTE DE SANTANDER
585,SANTO DOMINGO DE SILOS,NORTE DE SANTANDER
586,SARDINATA,NORTE DE SANTANDER
587,TEORAMA,NORTE DE SANTANDER
588,TIBÚ,NORTE DE SANTANDER
589,TOLEDO,NORTE DE SANTANDER
590,VILLA DEL ROSARIO,NORTE DE SANTANDER
591,COLÓN,PUTUMAYO
592,MOCOA,PUTUMAYO
593,ORITO,PUTUMAYO
594,PUERTO ASÍS,PUTUMAYO
595,PUERTO CAICEDO,PUTUMAYO
596,PUERTO GUZMÁN,PUTUMAYO
597,PUERTO LEGUÍZAMO,PUTUMAYO
598,SAN FRANCISCO,PUTUMAYO
599,SAN MIGUEL,PUTUMAYO
600,SAN MIGUEL (LA DORADA),PUTUMAYO
601,SANTIAGO,PUTUMAYO
602,SIBUNDOY,PUTUMAYO
603,VALLE DEL GUAMUEZ,PUTUMAYO
604,VALLE DEL GUAMUEZ (LA HORMIGA),PUTUMAYO
605,VILLAGARZÓN (VILLA AMAZÓNICA),PUTUMAYO
606,ARMENIA,QUINDÍO
607,ARMENIA ÁREA-1,QUINDÍO
608,ARMENIA ÁREA-2,QUINDÍO
609,CALARCÁ,QUINDÍO
610,CIRCASIA,QUINDÍO
611,FILANDIA,QUINDÍO
612,GÉNOVA,QUINDÍO
613,LA TEBAIDA,QUINDÍO
614,MONTENEGRO,QUINDÍO
615,PIJAO,QUINDÍO
616,QUIMBAYA,QUINDÍO
617,SALENTO,QUINDÍO
618,BALBOA,RISARALDA
619,BELÉN DE UMBRÍA,RISARALDA
620,DOSQUEBRADAS,RISARALDA
621,GUÁTICA,RISARALDA
622,LA VIRGINIA,RISARALDA
623,MARSELLA,RISARALDA
624,PEREIRA,RISARALDA
625,PEREIRA ÁREA-1,RISARALDA
626,QUINCHÍA,RISARALDA
627,SANTA ROSA DE CABAL,RISARALDA
628,SANTUARIO,RISARALDA
629,PROVIDENCIA,SAN ANDRÉS Y PROVIDENCIA
630,SAN ANDRÉS,SAN ANDRÉS Y PROVIDENCIA
631,ALBANIA,SANTANDER
632,BARBOSA,SANTANDER
633,BARICHARA,SANTANDER
634,BARRANCABERMEJA,SANTANDER
635,BETULIA,SANTANDER
636,BOLÍVAR,SANTANDER
637,BUCARAMANGA,SANTANDER
638,BUCARAMANGA ÁREA-1,SANTANDER
639,CABRERA,SANTANDER
640,CALIFORNIA,SANTANDER
641,CAPITANEJO,SANTANDER
642,CARCASÍ,SANTANDER
643,CERRITO,SANTANDER
644,CHARALÁ,SANTANDER
645,CHIMA,SANTANDER
646,CHIPATÁ,SANTANDER
647,CIMITARRA,SANTANDER
648,CONTRATACIÓN,SANTANDER
649,COROMORO,SANTANDER
650,CURITÍ,SANTANDER
651,EL CARMEN DE CHUCURÍ,SANTANDER
652,EL PLAYÓN,SANTANDER
653,ENCINO,SANTANDER
654,FLORIÁN,SANTANDER
655,FLORIDABLANCA,SANTANDER
656,GÁMBITA,SANTANDER
657,GUACA,SANTANDER
658,GUADALUPE,SANTANDER
659,GUAVATÁ,SANTANDER
660,HATO,SANTANDER
661,JESÚS MARÍA,SANTANDER
662,LA PAZ,SANTANDER
663,LANDÁZURI,SANTANDER
664,LEBRIJA,SANTANDER
665,MÁLAGA,SANTANDER
666,MATANZA,SANTANDER
667,MOGOTES,SANTANDER
668,MOLAGAVITA,SANTANDER
669,OCAMONTE,SANTANDER
670,OIBA,SANTANDER
671,ONZAGA,SANTANDER
672,PÁRAMO,SANTANDER
673,PIEDECUESTA,SANTANDER
674,PUENTE NACIONAL,SANTANDER
675,PUERTO PARRA,SANTANDER
676,PUERTO WILCHES,SANTANDER
677,RIONEGRO,SANTANDER
678,SABANA DE TORRES,SANTANDER
679,SAN GIL,SANTANDER
680,SAN JOSÉ DE MIRANDA,SANTANDER
681,SAN JUAN DE GIRÓN,SANTANDER
682,SAN VICENTE DE CHUCURÍ,SANTANDER
683,SANTA HELENA DEL OPÓN,SANTANDER
684,SIMACOTA,SANTANDER
685,SOCORRO,SANTANDER
686,SUAITA,SANTANDER
687,TONA,SANTANDER
688,VALLE DE SAN JOSÉ,SANTANDER
689,VÉLEZ,SANTANDER
690,VILLANUEVA,SANTANDER
691,ZAPATOCA,SANTANDER
692,CAIMITO,SUCRE
693,COROZAL,SUCRE
694,COVEÑAS,SUCRE
695,GALERAS (NUEVA GRANADA),SUCRE
696,GUARANDA,SUCRE
697,MAJAGUAL,SUCRE
698,MORROA,SUCRE
699,OVEJAS,SUCRE
700,SAMPUÉS,SUCRE
701,SAN BENITO ABAD,SUCRE
702,SAN JUAN DE BETULIA,SUCRE
703,SAN LUIS DE SINCÉ,SUCRE
704,SAN MARCOS,SUCRE
705,SAN ONOFRE,SUCRE
706,SAN PEDRO,SUCRE
707,SINCELEJO,SUCRE
