id,operation,channels_id,geolocation_id
559,Nacional privado futuro,19,5789
560,Nacional privado,14,5789
561,Nacional privado,15,5789
562,Nacional público,16,5789
563,Regional público,18,5789
564,Nacional privado futuro,19,5790
565,Nacional público,16,5790
566,Regional público,18,5790
567,Nacional privado,26,5790
568,Nacional privado,25,5790
569,Nacional privado futuro,19,5792
570,Nacional privado,14,5792
571,Nacional privado,15,5792
572,Nacional público,16,5792
573,Regional público,18,5792
574,Nacional privado futuro,19,5809
575,Nacional privado,14,5809
576,Nacional privado,15,5809
577,Nacional público,16,5809
578,Regional público,18,5809
579,Nacional privado futuro,19,5819
580,Nacional público,16,5819
581,Regional público,18,5819
582,Nacional privado,14,5819
583,Nacional privado,15,5819
584,Local sin ánimo de lucro,30,5837
585,Nacional privado futuro,38,5837
586,Nacional público,28,5837
587,Regional público,27,5837
588,Nacional privado,21,5837
589,Nacional privado,24,5837
590,Local con ánimo de lucro,31,5837
591,Nacional privado,14,5842
592,Nacional privado,15,5842
593,Nacional público,16,5842
594,Regional público,18,5842
595,Nacional privado futuro,19,5842
596,Nacional privado futuro,19,5847
597,Nacional privado,14,5847
598,Nacional privado,15,5847
599,Nacional público,16,5847
600,Regional público,18,5847
601,Nacional privado futuro,46,5854
602,Nacional privado,43,5854
603,Nacional privado,44,5854
604,Nacional público,16,5854
605,Regional público,18,5854
606,Nacional privado futuro,19,5856
607,Nacional privado,14,5856
608,Nacional privado,15,5856
609,Nacional público,16,5856
610,Regional público,18,5856
611,Nacional privado futuro,19,5858
612,Nacional privado,49,5858
613,Nacional privado,45,5858
614,Nacional público,35,5858
615,Regional público,18,5858
616,Nacional privado futuro,19,5861
617,Nacional privado,14,5861
618,Nacional privado,15,5861
619,Nacional público,16,5861
620,Regional público,18,5861
621,Nacional público,21,5873
622,Nacional privado,14,5873
623,Nacional privado,15,5873
624,Regional público,18,5873
625,Nacional privado futuro,19,5873
626,Nacional privado futuro,19,5885
627,Nacional privado,49,5885
628,Nacional privado,45,5885
629,Nacional público,35,5885
630,Regional público,18,5885
631,Nacional privado,14,5887
632,Nacional privado,15,5887
633,Nacional privado futuro,19,5887
634,Nacional público,16,5887
635,Regional público,18,5887
636,Nacional privado futuro,19,5890
637,Nacional privado,49,5890
638,Nacional privado,45,5890
639,Nacional público,16,5890
640,Regional público,18,5890
641,Nacional público,27,5893
642,Nacional privado futuro,19,5893
643,Nacional privado,49,5893
644,Nacional privado,45,5893
645,Regional público,18,5893
646,Nacional privado futuro,46,5895
647,Nacional privado,43,5895
648,Nacional privado,44,5895
649,Nacional público,16,5895
650,Regional público,18,5895
651,Local sin ánimo de lucro,21,8001
652,Nacional privado futuro,19,8001
653,Nacional privado,14,8001
654,Nacional privado,15,8001
655,Nacional público,16,8001
656,Regional público,17,8001
657,Local con ánimo de lucro,25,8001
658,Nacional privado futuro,38,8078
659,Nacional público,16,8078
660,Regional público,17,8078
661,Local sin ánimo de lucro,21,8078
662,Nacional privado,34,8078
663,Nacional privado,32,8078
664,Local con ánimo de lucro,22,8078
665,Nacional privado futuro,38,8137
666,Nacional público,16,8137
667,Regional público,17,8137
668,Nacional privado,34,8137
669,Nacional privado,32,8137
670,Nacional privado futuro,38,8141
671,Nacional público,16,8141
672,Regional público,17,8141
673,Nacional privado,34,8141
674,Nacional privado,32,8141
675,Nacional privado futuro,19,8296
676,Nacional público,16,8296
677,Regional público,17,8296
678,Nacional privado,34,8296
679,Nacional privado,32,8296
680,Local con ánimo de lucro,25,8296
681,Nacional privado futuro,38,8372
682,Nacional público,33,8372
683,Regional público,48,8372
684,Nacional privado,34,8372
685,Nacional privado,32,8372
686,Nacional privado futuro,38,8421
687,Nacional público,16,8421
688,Regional público,17,8421
689,Nacional privado,34,8421
690,Nacional privado,32,8421
691,Nacional privado futuro,19,8433
692,Nacional público,16,8433
693,Regional público,17,8433
694,Nacional privado,14,8433
695,Nacional privado,15,8433
696,Local con ánimo de lucro,25,8433
697,Nacional privado futuro,38,8436
698,Nacional público,16,8436
699,Regional público,17,8436
700,Nacional privado,34,8436
701,Nacional privado,32,8436
702,Nacional privado futuro,19,8520
703,Nacional público,16,8520
704,Regional público,17,8520
705,Nacional privado,14,8520
706,Nacional privado,15,8520
707,Nacional privado futuro,38,8549
708,Nacional público,16,8549
709,Regional público,17,8549
710,Nacional privado,34,8549
711,Nacional privado,32,8549
712,Nacional privado futuro,38,8558
713,Nacional público,16,8558
714,Regional público,17,8558
715,Nacional privado,34,8558
716,Nacional privado,32,8558
717,Nacional privado futuro,38,8560
718,Nacional público,16,8560
719,Regional público,17,8560
720,Nacional privado,34,8560
721,Nacional privado,32,8560
722,Nacional privado futuro,38,8573
723,Nacional público,33,8573
724,Regional público,48,8573
725,Nacional privado,34,8573
726,Nacional privado,32,8573
727,Local con ánimo de lucro,25,8573
728,Nacional privado futuro,38,8606
729,Nacional público,16,8606
730,Regional público,17,8606
731,Nacional privado,34,8606
732,Nacional privado,32,8606
733,Nacional privado futuro,38,8634
734,Nacional público,16,8634
735,Regional público,17,8634
736,Nacional privado,34,8634
737,Nacional privado,32,8634
738,Local con ánimo de lucro,26,8634
739,Local sin ánimo de lucro,21,8634
740,Nacional privado futuro,38,8638
741,Nacional público,16,8638
742,Regional público,17,8638
743,Nacional privado,34,8638
744,Nacional privado,32,8638
745,Nacional privado futuro,38,8675
746,Nacional público,16,8675
747,Regional público,17,8675
748,Nacional privado,34,8675
749,Nacional privado,32,8675
750,Nacional privado futuro,19,8685
751,Nacional público,16,8685
752,Regional público,17,8685
753,Nacional privado,14,8685
754,Nacional privado,15,8685
755,Nacional privado futuro,19,8758
756,Nacional privado,14,8758
757,Nacional privado,15,8758
758,Nacional público,16,8758
759,Regional público,17,8758
760,Local con ánimo de lucro,25,8758
761,Local sin ánimo de lucro,21,8758
762,Nacional privado futuro,38,8770
763,Nacional público,16,8770
764,Regional público,17,8770
765,Nacional privado,34,8770
766,Nacional privado,32,8770
767,Nacional privado futuro,38,8832
768,Nacional público,16,8832
769,Regional público,17,8832
770,Nacional privado,34,8832
771,Nacional privado,32,8832
772,Nacional privado futuro,38,8849
773,Nacional público,16,8849
774,Regional público,17,8849
775,Nacional privado,34,8849
776,Nacional privado,32,8849
777,Local sin ánimo de lucro,29,11001
778,Local sin ánimo de lucro,30,11001
779,Nacional privado futuro,19,11001
780,Nacional privado,14,11001
781,Nacional privado,15,11001
782,Nacional privado futuro,19,11001
783,Regional público,28,11001
784,Local con ánimo de lucro,27,11001
785,Nacional público,16,11001
786,Regional público,17,11001
787,Regional público,28,11001
788,Nacional público,16,11001
789,Nacional privado futuro,19,11001
790,Regional público,17,11001
791,Regional público,28,11001
792,Nacional público,16,11001
793,Regional público,17,11001
794,Nacional privado,14,11001
795,Nacional privado,15,11001
796,Nacional privado,14,11001
797,Nacional privado,15,11001
798,Local sin ánimo de lucro,27,13001
799,Nacional privado futuro,19,13001
800,Nacional privado,14,13001
801,Nacional privado,15,13001
802,Nacional público,16,13001
803,Regional público,17,13001
804,Local con ánimo de lucro,25,13001
805,Nacional privado futuro,50,13006
806,Nacional privado,49,13006
807,Nacional privado,45,13006
808,Nacional público,16,13006
809,Regional público,17,13006
810,Nacional público,27,13030
811,Regional público,29,13030
812,Nacional privado,49,13030
813,Nacional privado,45,13030
814,Nacional privado futuro,19,13030
815,Nacional público,27,13042
816,Regional público,29,13042
817,Nacional privado,49,13042
818,Nacional privado,45,13042
819,Nacional privado futuro,50,13042
820,Nacional público,33,13052
821,Regional público,48,13052
822,Nacional privado futuro,19,13052
823,Nacional privado,14,13052
824,Nacional privado,15,13052
825,Nacional público,16,13062
826,Regional público,17,13062
827,Nacional privado,14,13062
828,Nacional privado,15,13062
829,Nacional privado futuro,19,13062
830,Nacional privado futuro,50,13074
831,Nacional privado,49,13074
832,Nacional privado,45,13074
833,Nacional público,27,13074
834,Regional público,29,13074
835,Nacional privado futuro,38,13140
836,Nacional público,16,13140
837,Regional público,17,13140
838,Nacional privado,34,13140
839,Nacional privado,32,13140
840,Nacional público,27,13160
841,Regional público,29,13160
842,Nacional privado,49,13160
843,Nacional privado,45,13160
844,Nacional privado futuro,50,13160
845,Nacional privado,49,13188
846,Nacional privado,45,13188
847,Nacional público,27,13188
848,Regional público,17,13188
849,Nacional privado futuro,27,13188
850,Nacional privado futuro,19,13212
851,Nacional privado,34,13212
852,Nacional privado,32,13212
853,Nacional público,16,13212
854,Regional público,17,13212
855,Nacional público,16,13222
856,Regional público,17,13222
857,Nacional privado,14,13222
858,Nacional privado,15,13222
859,Nacional privado futuro,19,13222
860,Nacional privado futuro,38,13244
861,Nacional público,16,13244
862,Regional público,17,13244
863,Nacional privado,14,13244
864,Nacional privado,15,13244
865,Nacional privado futuro,38,13248
866,Nacional público,33,13248
867,Regional público,48,13248
868,Nacional privado,34,13248
869,Nacional privado,32,13248
870,Nacional público,27,13268
871,Regional público,29,13268
872,Nacional privado,49,13268
873,Nacional privado,45,13268
874,Nacional privado futuro,27,13268
875,Nacional público,27,13300
876,Regional público,29,13300
877,Nacional privado,49,13300
878,Nacional privado,45,13300
879,Nacional privado futuro,27,13300
880,Nacional privado,49,13430
881,Nacional privado,45,13430
882,Nacional privado futuro,19,13430
883,Nacional público,16,13430
884,Regional público,17,13430
885,Local con ánimo de lucro,22,13430
886,Nacional privado futuro,38,13433
887,Nacional público,16,13433
888,Regional público,17,13433
889,Nacional privado,34,13433
890,Nacional privado,32,13433
891,Nacional privado futuro,50,13440
892,Nacional privado,49,13440
893,Nacional privado,45,13440
894,Nacional público,27,13440
895,Regional público,29,13440
896,Nacional privado futuro,38,13442
897,Nacional público,16,13442
898,Regional público,17,13442
899,Nacional privado,14,13442
900,Nacional privado,15,13442
901,Nacional privado,43,13458
902,Nacional privado,25,13458
903,Nacional público,34,13458
904,Regional público,29,13458
905,Nacional privado futuro,27,13458
906,Nacional privado futuro,50,13468
907,Nacional privado,49,13468
908,Nacional privado,45,13468
909,Nacional público,27,13468
910,Regional público,29,13468
911,Nacional privado futuro,50,13473
912,Nacional privado,49,13473
913,Nacional privado,45,13473
914,Nacional público,27,13473
915,Regional público,29,13473
916,Nacional privado,26,13490
917,Nacional privado,28,13490
918,Nacional público,34,13490
919,Regional público,29,13490
920,Nacional privado futuro,27,13490
921,Nacional privado futuro,50,13549
922,Nacional privado,49,13549
923,Nacional privado,45,13549
924,Nacional público,27,13549
925,Regional público,29,13549
926,Nacional público,27,13580
927,Regional público,29,13580
928,Nacional privado,49,13580
929,Nacional privado,45,13580
930,Nacional privado futuro,27,13580
931,Nacional privado futuro,50,13600
932,Nacional privado,49,13600
933,Nacional privado,45,13600
934,Nacional público,27,13600
935,Regional público,29,13600
936,Nacional privado futuro,38,13620
937,Nacional público,16,13620
938,Regional público,17,13620
939,Nacional privado,34,13620
940,Nacional privado,32,13620
941,Nacional privado futuro,38,13647
942,Nacional público,16,13647
943,Regional público,17,13647
944,Nacional privado,34,13647
945,Nacional privado,32,13647
946,Nacional privado futuro,50,13650
947,Nacional privado,49,13650
948,Nacional privado,45,13650
949,Nacional público,27,13650
950,Regional público,29,13650
951,Nacional privado futuro,38,13654
952,Nacional público,16,13654
953,Regional público,17,13654
954,Nacional privado,14,13654
955,Nacional privado,15,13654
956,Nacional público,16,13655
957,Regional público,17,13655
958,Nacional privado,43,13655
959,Nacional privado,25,13655
960,Nacional privado futuro,19,13655
961,Nacional privado futuro,38,13657
962,Nacional público,16,13657
963,Regional público,17,13657
964,Nacional privado,14,13657
965,Nacional privado,15,13657
966,Nacional privado futuro,50,13667
967,Nacional privado,49,13667
968,Nacional privado,45,13667
969,Nacional público,27,13667
970,Regional público,29,13667
971,Nacional privado futuro,50,13670
972,Nacional privado,49,13670
973,Nacional privado,45,13670
974,Nacional público,27,13670
975,Regional público,29,13670
976,Nacional privado futuro,38,13673
977,Nacional público,16,13673
978,Regional público,17,13673
979,Nacional privado,34,13673
980,Nacional privado,32,13673
